signal_id	name	120967	141810	103752	105373	116957	118925	119035	119189	119627	121575	121794	123994	124533	126057	126530	131589	132440	133676	143375	144260	144347	146463	147557	148817	149066	149298	150263	150744	154510	155215	156220	156605	157774	160319	161163	161433	161748	162558	163620	169332	169671	170262	174714	149033	111197	113468	113835	124093	128426	129614	141223	142225	142342	142405	149203	150592	156997	164981	166344	VA26102	VA26103	VA26107	VA26108	VA26111	VA26116	VA26118	VA26119	VA26120	VA26127	VA26129	VA26130	VA26143	VA26153	VA26166	VA26171	VA26173	VA26176	VA26178	VA26185	VA48587	VA48588	VA48589	VA48590	VA48591	VA48592	VA48593	VA48594	VA48595	VA48596	VA48597	VA48598	oci_qc_1	oci_qc_2	oci_qc_3	oci_qc_4	oci_qc_5
116	acetoacetamide	16.40047865	16.33623254	16.20599476	16.54346717	16.43977671	15.74740991	15.43813251	15.94599431	16.13563855	16.39712557	16.16362992	15.89639858	16.09228049	16.54857508	15.94689728	16.45879645	16.13342183	16.14017572	16.2088241	16.0229278	15.46514214	16.04773133	15.64146151	15.65686388	16.22839804	15.51726142	15.59595293	16.02753683	15.40091742	14.8601247	15.44338302	16.14453584	15.80023653	14.81376869	15.12000452	15.53789641	15.70765927	15.50365639	15.12025663	15.51209969	15.3465609	15.62858935	15.94507694	15.64535704	16.14822339	16.15069645	15.33373219	15.22121734	15.88379611	13.73640986	14.53125792	16.32697641	16.17037738	15.50524656	16.04862256	16.52697004	15.08546644	14.51760742	15.79058722	16.20028139	16.50788117	15.35783237	15.95037943	16.49051215	15.35067413	16.27003622	15.67284432	16.08655442	15.36205704	15.71120091	15.79812347	16.38193293	16.57352377	15.98740563	15.51371217	15.92112651	16.08216795	15.8837691	16.15281157	15.9980168	16.1016209	15.50527738	15.84351731	16.45231337	16.08112782	15.23204204	15.46356671	15.46050946	14.08709118	15.82967069	15.67298836	15.30970823	15.53775188	14.60967974	15.7998837	16.05128468
117	pentanamide	17.79787042	18.46067759	18.36143973	17.9375263	17.54523542	18.18828525	18.39035433	18.37511558	18.44571221	18.2427296	17.52191707	18.38481558	18.08827109	18.20251502	18.5626561	17.88898612	18.27659042	18.01282621	17.71209546	16.82735113	17.20711616	16.70927209	16.73337777	17.24174193	16.45794877	17.44837411	17.04885873	17.34389564	17.68615768	16.51103208	16.70885715	17.66675026	16.93691673	17.20842218	17.04228445	17.03949271	16.80468266	16.94576502	16.97790514	16.71917094	16.51664999	17.04925223	16.94023753	17.16899562	17.9286106	16.99465941	17.67508863	17.75659809	17.47203513	16.34525628	16.54229248	18.54196636	18.59676335	16.91945854	17.83353746	17.88742155	19.10272696	19.09534825	18.78307793	18.2013444	18.32742741	18.41831604	19.0150043	18.48002042	17.93698008	18.45909425	17.66636542	17.74718741	18.56057233	18.00166755	18.52161963	17.89996459	18.46785057	18.38692838	18.5013747	17.54039742	17.70447783	17.67714728	17.54256666	17.30762862	17.82001391	17.94039794	17.72650034	17.28843003	17.80518215	17.91308112	17.46216415	17.81201284	16.96823081	17.78971221	18.025284	17.18416652	17.26348545	16.85642657	17.50535675	17.29838879
126	Succinic acid semialdehyde;(S)-Methylmalonic acid semialdehyde;2-methyl-3-oxo-propanoic acid;3-methyl pyruvic acid;Acetoacetic acid;4-hydroxy-crotonic acid;3-hydroxybut-2-enoic acid	17.86459546	18.28521409	18.29800968	18.14700379	17.65233636	17.95899277	18.12864363	18.14032998	17.68784665	18.16843865	18.13659289	18.20098186	17.95894143	17.77970344	18.92357393	17.71069625	17.96989446	17.98920721	19.45794451	18.88994226	19.00916631	18.69304821	18.53403683	18.7760495	18.30919778	19.0046979	18.99370386	18.16491049	19.31727562	18.64181963	18.84915636	18.62499583	18.7752514	18.85502292	19.22758082	18.67302941	18.82804567	18.11783278	18.20512509	17.95162457	17.8718724	18.18156093	18.06335326	18.37331167	19.07470446	18.13235665	18.81856363	18.77242644	18.42189512	17.5801914	18.03780802	19.56194468	19.5795183	18.24044134	19.04237298	19.13930676	19.00465204	19.00965306	18.75262053	18.16684549	18.25392323	18.30689228	18.82031027	18.41704792	17.97986835	18.29824052	17.7331252	17.67315388	18.6140237	17.9789451	18.40054861	17.58826586	18.41496988	18.14543852	18.44944802	17.27013165	17.61592798	17.61508158	17.58726969	18.2416504	18.03786776	18.00446151	18.05034188	17.58135541	18.39864736	17.61847657	17.53227545	17.71512776	16.66348838	18.32384815	17.84101599	17.9332095	17.51658606	16.59944135	17.39876364	17.24709587
135	pentan-2-one;3-Methyl-3-buten-1-ol;Pentanal;2Z-Penten-1-ol;3-Methyl-2-buten-1-ol;2-Methyl-3-buten-1-ol;pentan-3-one;2-Methylenebutan-1-ol;3-Methylbutan-2-one	22.48720256	23.30986843	21.17147205	22.21863209	23.41298295	22.18203568	22.00892001	22.35023031	22.04874411	22.00207866	21.69042122	23.37562064	21.4763342	21.78762822	22.3977534	22.47579929	21.9670694	22.74646331	22.07686123	22.76586771	20.99224663	23.2729951	22.7551032	22.0555883	21.82313583	23.38727077	21.87793426	22.47500712	20.86636285	20.50617905	22.90559641	23.29246081	22.65713027	21.82669561	22.10130584	20.91804091	22.27711183	21.76798697	20.18833935	20.32641591	22.01811691	21.99715218	22.88434323	20.14775565	20.33555515	21.01635701	19.52369877	19.20904267	19.47775303	18.80028427	19.01678152	20.59105618	20.08867261	19.97681861	19.67616329	21.10296714	19.90838902	20.05166224	20.36857442	23.95456655	24.1521434	22.61447817	23.01600835	24.22098113	23.61553126	23.69034301	23.11479605	23.52604118	23.28300675	23.35230184	23.22082443	23.22999307	23.02306026	22.90422814	23.23325121	22.9730987	23.27202121	23.41400505	23.0204736	23.93722556	24.22112434	21.27561829	21.22529214	23.83395984	21.08060625	21.37112292	23.68104155	20.70769871	20.3411283	21.10265684	23.59637775	21.62303027	21.93759285	21.90309875	21.73208862	21.82133865
208	4-amino-4-cyano-butanoic acid;2-amino-4-cyano-butanoic acid	14.80719532	15.55703097	14.87791263	15.99040907	15.72245506	14.93578913	14.96641558	14.23554831	14.72221751	15.95375779	17.50425397	15.77024873	15.7777856	15.80251318	16.34094552	15.44752306	13.92612665	15.25874681	16.05288786	15.90762937	14.76732803	15.91873015	14.14468941	14.90281528	13.94265877	14.34850012	15.86767243	15.4458932	15.30836046	14.25137525	14.39078613	15.14400778	14.38984905	16.01564298	14.73666955	15.21855251	16.1161458	15.03059347	14.9912674	13.93049028	14.24232392	14.39479661	14.95440736	14.22559692	16.22142589	15.82293798	15.26101398	16.25862439	16.82010379	14.31341297	15.95902836	16.87218491	14.32700362	15.02531612	15.92798509	15.3767851	14.98045985	16.92964705	15.17760008	13.72341321	15.38017254	14.97839688	14.29765471	15.12254276	14.06998267	14.5189595	14.60528005	14.25865016	14.64077011	14.33030633	15.13303215	14.33825927	15.48345662	14.89224809	15.38369616	14.65520396	15.82489845	14.84743964	14.10929672	15.59274794	14.08542388	14.47293424	14.98822705	14.93664051	15.70993476	14.11172921	13.54594456	14.39995801	12.92374767	15.28014525	14.52146088	15.4059857	15.05849841	14.44304935	14.64806108	14.56670129
232	p-Cymene	19.60468839	19.71407439	20.2405112	19.74199763	19.83201061	19.98966242	19.84402736	19.8985351	19.93673278	19.57459583	20.05266348	19.60187111	19.77704943	20.15990378	19.93446459	20.18188007	19.82249065	19.83326508	20.48710515	20.16643291	20.04431033	19.89996354	19.92146002	20.09064307	19.97122007	20.3152002	20.35753538	20.16943534	20.28505052	20.12871132	20.19023667	19.90109983	20.43018883	20.16498632	20.22039422	20.46160041	20.54211634	20.21539188	20.07602751	19.96140247	20.23499736	20.01813118	19.94228031	20.99485656	20.69025989	20.76623405	20.86747522	20.5435713	21.33750817	21.05013658	20.78418151	21.17631322	20.75068406	20.79323532	21.11710199	20.81754418	20.96427643	20.8912869	21.20381234	20.42809893	20.52020648	20.49138621	20.32450714	20.34983502	20.19595852	20.34798881	20.44973735	20.25755414	20.24190019	20.26419062	20.3638149	20.31712273	20.25042913	20.0026318	20.44488627	19.66419283	20.05966899	19.84608896	20.19751977	19.65646728	20.29928591	20.13834128	19.94903058	19.74617364	20.23472784	19.80900453	20.01398372	19.96372763	19.71217342	20.05954982	20.13966425	19.72901102	19.7928975	19.90574268	19.64158104	19.65153259
250	"3-heptynoic acid;3Z-Hepten-2,5-dione;6-heptynoic acid;4-Methyl-3Z,5-hexadienoic acid;3E-Hepten-2,5-dione;2-heptenedial;4-heptynoic acid"	18.0028617	20.90704457	18.63665197	22.84459488	20.59427915	20.74812417	19.47427327	20.18386806	18.62296457	22.56622283	17.60740851	17.0173599	17.69552137	20.15744221	21.19747894	20.34634229	17.38208892	17.97586786	18.66515731	17.7701412	18.2563004	20.27066438	17.54869964	17.98614953	18.9755213	17.22667866	17.78806358	20.88732506	19.81462542	17.57718862	17.73763311	19.25340265	17.99563741	17.45341054	18.01435566	17.06142136	16.94529753	19.62809045	19.36632373	18.60346116	18.77011066	17.53129112	19.1402417	17.40028483	23.67257898	18.76783038	21.85093941	22.82494576	20.33426771	18.82602371	20.93541568	18.5735021	22.31723963	20.98693948	18.53297676	17.4882942	18.58167197	23.329573	20.82371421	17.53385743	19.523954	17.53721253	18.50920393	19.9930649	18.45443536	18.61015568	21.06796383	18.56117001	20.49281897	16.64227467	19.46272644	16.5266806	20.32243787	21.34064334	21.07892378	20.58164028	17.21956795	17.30431206	17.96419101	16.46568209	16.84626536	17.23943424	19.58629595	19.88615914	18.15003194	18.43855686	19.7585383	19.23467617	18.63863966	19.08040173	17.25609208	19.73295413	19.84312109	19.20798923	19.5321812	19.02369949
251	SFE 6:2;O2	15.07905967	15.36146531	17.23553383	15.34656757	15.65937333	16.06045251	16.2552846	15.58041068	16.74035194	15.20157824	16.0898739	16.01717485	16.2976599	16.02002407	16.30975418	15.45271767	15.1393206	15.8566637	16.39666366	16.11282069	15.48920665	15.06765241	15.15323035	15.59445183	14.7535251	15.00364572	15.0850757	15.05879167	16.49670295	16.0041357	15.41303326	15.09830071	16.0010004	15.81290811	16.60387178	15.72674084	14.6514807	15.50376197	15.24083534	15.22229696	14.71453667	15.40380224	13.79234858	15.27537275	16.34874145	16.95579603	16.97429057	15.37280934	17.54081468	16.11653147	15.33366861	15.26282844	15.78850442	16.27568038	17.09051156	15.33802805	16.75728563	16.29743	16.80687613	14.80139584	14.95725736	15.45557601	15.7775332	14.17381682	14.35246181	15.37600114	14.35555393	14.25774651	15.11494394	14.81603297	15.07933325	14.36707255	14.63841727	14.52235874	15.21276479	15.36710275	15.66052338	15.60797888	15.24185767	14.95451077	15.30872934	15.92341865	16.33462331	15.17373537	17.07350616	16.09934937	14.96588727	16.41500806	15.93224852	15.925594	16.05689353	16.09731539	16.09738764	15.71510667	14.81513984	14.67509715
257	"2,4-Dimethyl-2-pentenoic acid;alpha-heptenoic acid;2,2-dimethyl-4-pentenoic acid;4Z-heptenoic acid;2,3-Heptanedione;3-isopropyl-3-butenoic acid;Heptan-2,5-dione;3-Methyl-2Z-hexenoic acid;beta-heptenoic acid;4,4-dimethyl-2E-pentenoic acid;2-isopropyl trans-crotonic acid;delta-heptenoic acid;2-methyl-2Z-hexenoic acid;4,4-dimethyl-2Z-pentenoic acid;2-butyl acrylic acid;gamma-heptenoic acid;5-methyl-5-hexenoic acid;epsilon-heptenoic acid;3-Methyl-2E-hexenoic acid;Pimelic dialdehyde;2-methyl-2E-hexenoic acid"	17.02007862	17.45530725	17.82861328	17.52126569	17.13549569	17.68343479	18.21009486	17.46088879	17.92355032	17.48423137	17.69428437	17.37873174	17.22022346	17.4039684	17.97213617	17.30147311	17.60690263	17.5413374	18.11049429	17.4616184	17.61710808	17.1667936	17.37945768	17.88704845	17.32106043	17.85036562	17.39683833	17.34097941	17.99067515	17.50483278	17.4527851	17.51668934	17.40632395	17.64891726	17.75455024	17.60084553	17.74498953	17.46073953	17.43849647	17.06007571	17.70557215	17.88538804	17.42091373	17.73873976	18.33639303	17.91094273	18.52114536	18.01653534	17.71965791	17.72279105	17.88719545	18.4740166	18.03845982	17.62822279	18.15102968	17.49388008	18.13820207	18.50211493	17.71275222	17.18838647	17.23692665	17.47906394	17.55395087	17.09224947	16.72665755	17.32949982	17.30806744	17.37300011	17.23041356	17.83425705	17.63613392	16.83296058	17.14721926	17.76226088	17.49023391	17.00082181	17.21888668	18.39360178	17.03288253	16.90423772	17.271368	17.45130824	17.31125739	16.65550408	18.02798701	17.27071393	17.54949842	17.49156475	17.13201881	17.55535055	17.33325734	17.22889593	17.03176493	16.42128993	16.6655987	16.09064936
288	"6Z-Octene-2,4-diynoic acid;6E-Octene-2,4-diynoic acid"	11.84525269	11.72377362	11.99843587	14.05058933	13.69170431	11.30943846	13.13977586	17.7371853	11.27414697	12.2360695	12.242053	16.2599821	10.57348727	11.36427002	11.85197368	12.32777295	12.79904227	11.90088961	15.86216349	10.83674524	16.15289419	11.08025932	15.49735257	8.936349835	15.56217627	10.84596599	11.81759391	13.79541295	19.58000121	11.66766286	10.73816531	11.83190345	11.94843301	12.1018156	13.31434631	11.07958063	18.85073276	16.42860814	9.553605943	11.31721995	17.59434397	10.99036485	12.46076681	12.61476908	13.30711574	16.72460993	11.81317659	11.67655661	18.73253053	12.68405887	12.90138082	12.66096656	12.22857776	12.80701547	10.84047192	13.07450605	13.92731796	13.72053933	13.2829867	13.26806998	14.17720304	11.86153806	14.06643815	11.73734807	12.91766977	17.12830512	12.34472224	16.40969002	10.43889082	11.94434143	12.01823932	11.55676968	18.50751394	12.69211097	12.17832059	10.96328081	11.48927874	11.48310748	12.61134726	13.71658482	10.811084	11.99086703	17.55092564	10.62724766	10.43498575	10.76684391	11.59372479	9.205098849	11.40137707	13.30563605	10.48704105	15.18482606	14.6774031	14.74588077	15.21620194	16.21590682
