sample_name	group	lipid_pos	lipid_neg	polar_pos	polar_neg	group_qc
120967	OVCA	128-0339_001_064.mzML	128-0339_001_064.mzML	128-0339-001_027.mzML	128-0339-001_027.mzML	OVCA
141810	OVCA	128-0339_002_089.mzML	128-0339_002_089.mzML	128-0339-002_057.mzML	128-0339-002_057.mzML	OVCA
103752	OVCA	128-0339_003_030.mzML	128-0339_003_030.mzML	128-0339-003_099.mzML	128-0339-003_099.mzML	OVCA
105373	OVCA	128-0339_004_048.mzML	128-0339_004_048.mzML	128-0339-004_018.mzML	128-0339-004_018.mzML	OVCA
116957	OVCA	128-0339_005_019.mzML	128-0339_005_019.mzML	128-0339-005_025.mzML	128-0339-005_025.mzML	OVCA
118925	OVCA	128-0339_006_011.mzML	128-0339_006_011.mzML	128-0339-006_042.mzML	128-0339-006_042.mzML	OVCA
119035	OVCA	128-0339_007_056.mzML	128-0339_007_056.mzML	128-0339-007_011.mzML	128-0339-007_011.mzML	OVCA
119189	OVCA	128-0339_008_008.mzML	128-0339_008_008.mzML	128-0339-008_030.mzML	128-0339-008_030.mzML	OVCA
119627	OVCA	128-0339_009_072.mzML	128-0339_009_072.mzML	128-0339-009_047.mzML	128-0339-009_047.mzML	OVCA
121575	OVCA	128-0339_010_080.mzML	128-0339_010_080.mzML	128-0339-010_068.mzML	128-0339-010_068.mzML	OVCA
121794	OVCA	128-0339_011_016.mzML	128-0339_011_016.mzML	128-0339-011_070.mzML	128-0339-011_070.mzML	OVCA
123994	OVCA	128-0339_012_020.mzML	128-0339_012_020.mzML	128-0339-012_009.mzML	128-0339-012_009.mzML	OVCA
124533	OVCA	128-0339_013_055.mzML	128-0339_013_055.mzML	128-0339-013_065.mzML	128-0339-013_065.mzML	OVCA
126057	OVCA	128-0339_014_059.mzML	128-0339_014_059.mzML	128-0339-014_102.mzML	128-0339-014_102.mzML	OVCA
126530	OVCA	128-0339_015_009.mzML	128-0339_015_009.mzML	128-0339-015_088.mzML	128-0339-015_088.mzML	OVCA
131589	OVCA	128-0339_016_028.mzML	128-0339_016_028.mzML	128-0339-016_069.mzML	128-0339-016_069.mzML	OVCA
132440	OVCA	128-0339_017_007.mzML	128-0339_017_007.mzML	128-0339-017_049.mzML	128-0339-017_049.mzML	OVCA
133676	OVCA	128-0339_018_050.mzML	128-0339_018_050.mzML	128-0339-018_010.mzML	128-0339-018_010.mzML	OVCA
143375	OVCA	128-0339_019_042.mzML	128-0339_019_042.mzML	128-0339-019_084.mzML	128-0339-019_084.mzML	OVCA
144260	OVCA	128-0339_020_038.mzML	128-0339_020_038.mzML	128-0339-020_097.mzML	128-0339-020_097.mzML	OVCA
144347	OVCA	128-0339_021_037.mzML	128-0339_021_037.mzML	128-0339-021_041.mzML	128-0339-021_041.mzML	OVCA
146463	OVCA	128-0339_022_013.mzML	128-0339_022_013.mzML	128-0339-022_014.mzML	128-0339-022_014.mzML	OVCA
147557	OVCA	128-0339_023_071.mzML	128-0339_023_071.mzML	128-0339-023_061.mzML	128-0339-023_061.mzML	OVCA
148817	OVCA	128-0339_024_005.mzML	128-0339_024_005.mzML	128-0339-024_029.mzML	128-0339-024_029.mzML	OVCA
149066	OVCA	128-0339_025_060.mzML	128-0339_025_060.mzML	128-0339-025_038.mzML	128-0339-025_038.mzML	OVCA
149298	OVCA	128-0339_026_045.mzML	128-0339_026_045.mzML	128-0339-026_043.mzML	128-0339-026_043.mzML	OVCA
150263	OVCA	128-0339_027_026.mzML	128-0339_027_026.mzML	128-0339-027_078.mzML	128-0339-027_078.mzML	OVCA
150744	OVCA	128-0339_028_073.mzML	128-0339_028_073.mzML	128-0339-028_032.mzML	128-0339-028_032.mzML	OVCA
154510	OVCA	128-0339_029_025.mzML	128-0339_029_025.mzML	128-0339-029_077.mzML	128-0339-029_077.mzML	OVCA
155215	OVCA	128-0339_030_033.mzML	128-0339_030_033.mzML	128-0339-030_062.mzML	128-0339-030_062.mzML	OVCA
156220	OVCA	128-0339_031_041.mzML	128-0339_031_041.mzML	128-0339-031_089.mzML	128-0339-031_089.mzML	OVCA
156605	OVCA	128-0339_032_084.mzML	128-0339_032_084.mzML	128-0339-032_050.mzML	128-0339-032_050.mzML	OVCA
157774	OVCA	128-0339_033_002.mzML	128-0339_033_002.mzML	128-0339-033_093.mzML	128-0339-033_093.mzML	OVCA
160319	OVCA	128-0339_034_047.mzML	128-0339_034_047.mzML	128-0339-034_083.mzML	128-0339-034_083.mzML	OVCA
161163	OVCA	128-0339_035_014.mzML	128-0339_035_014.mzML	128-0339-035_106.mzML	128-0339-035_106.mzML	OVCA
161433	OVCA	128-0339_036_062.mzML	128-0339_036_062.mzML	128-0339-036_107.mzML	128-0339-036_107.mzML	OVCA
